gene,c6_chrom,start,end,gene_ID,Type,Synonyms
VCSEN_aTSS2319,1,59793,59793,"",misc_feature,""
VC0061,1,59988,61925,thiC,CDS,""
VC0062,1,61929,63251,"",CDS,""
VC0063,1,63238,64014,thiF,CDS,""
VC0064,1,64014,64214,thiS,CDS,""
VC0065,1,64220,64990,thiG,CDS,""
VC0066,1,64987,66099,thiH,CDS,""
VC0067,1,66324,68117,"",CDS,""
VCSEN_aTSS49,1,68198,68198,"",misc_feature,""
VC0068,1,68250,69191,"",CDS,""
VCSEN_aTSS51,1,69226,69226,"",misc_feature,""
VCSEN_aTSS2321,1,69268,69268,"",misc_feature,""
VC0069,1,69296,70498,"",CDS,""
VCSEN_aTSS2323,1,69520,69520,"",misc_feature,""
VCSEN_aTSS2325,1,70563,70563,"",misc_feature,""
VC0070,1,70602,70886,tsrA,CDS,""
VC0071,1,70975,71436,asnC,CDS,""
VCSEN_aTSS2327,1,71343,71343,"",misc_feature,""
VCSEN_aTSS53,1,71474,71474,"",misc_feature,""
VC0072,1,71512,73818,"",CDS,""
VCSEN_aTSS2329,1,73851,73851,"",misc_feature,""
VC0073,1,73878,74663,"",CDS,""
VCSEN_aTSS2331,1,74755,74755,"",misc_feature,""
VC0074,1,74781,75170,"",CDS,""
VC0075,1,75266,76153,"",CDS,""
VC0076,1,76210,76635,uspA,CDS,""
VCSEN_aTSS55,1,76660,76660,"",misc_feature,""
VCSEN_aTSS2333,1,76771,76771,"",misc_feature,""
VC0078,1,76800,77327,ftnA,CDS,""
VC0079,1,77403,77726,uspB,CDS,""
VCSEN_aTSS2335,1,77808,77808,"",misc_feature,""
VC0080,1,77868,79055,"",CDS,""
VC0081,1,79052,79963,"",CDS,""
VCSEN_aTSS57,1,79989,79989,"",misc_feature,""
VCSEN_aTSS2337,1,80060,80060,"",misc_feature,""
VC0082,1,80077,81618,rmuC,CDS,""
VCSEN_aTSS2339,1,81622,81622,"",misc_feature,""
VC0083,1,81663,82445,ubiE,CDS,""
VC0084,1,82472,83077,ubiJ,CDS,""
VC0085,1,83074,84708,ubiB,CDS,""
VCSEN_aTSS2341,1,84571,84571,"",misc_feature,""
VC0086,1,84768,85016,tatA,CDS,""
VC0087,1,85020,85421,tatB,CDS,""
VC0088,1,85510,86262,tatC,CDS,""
VCSEN_aTSS2343,1,86449,86449,"",misc_feature,""
VC0089,1,86574,87575,ccp,CDS,""
VC0090,1,87681,89045,vcmD,CDS,""
VCSEN_aTSS59,1,89059,89059,"",misc_feature,""
VC0091,1,89116,89928,"",CDS,""
VCSEN_aTSS61,1,89950,89950,"",misc_feature,""
VC0092,1,90013,90642,lexA,CDS,""
VCSEN_aTSS63,1,90667,90667,"",misc_feature,""
VCSEN_aTSS2345,1,90865,90865,"",misc_feature,""
VC0093,1,90962,93388,plsB,CDS,""
VC0094,1,93464,94318,ubiA,CDS,cyr
VC0095,1,94319,94858,ubiC,CDS,""
VCSEN_aTSS65,1,94464,94464,"",misc_feature,""
VCSEN_aTSS2347,1,94874,94874,"",misc_feature,""
VCSEN_aTSS67,1,94997,94997,"",misc_feature,""
VCSEN_aTSS2349,1,95014,95014,"",misc_feature,""
VC0097,1,95062,95472,"",CDS,""
VC0098,1,95592,97571,"",CDS,""
VCSEN_aTSS2351,1,97690,97690,"",misc_feature,""
VCSEN_ancRNA12,1,97690,97938,"",misc_RNA,""
VCSEN_aTSS69,1,97801,97801,"",misc_feature,""
VCSEN_aTSS71,1,97824,97824,"",misc_feature,""
VC0099,1,97946,98779,glpG,CDS,""
VC0100,1,98786,99106,glpE,CDS,""
VCSEN_aTSS73,1,98836,98836,"",misc_feature,""
VCSEN_aTSS75,1,99135,99135,"",misc_feature,""
VC0102,1,99635,99775,"",CDS,""
VCSEN_aTSS77,1,99783,99783,"",misc_feature,""
VC0103,1,99867,100634,"",CDS,""
VCSEN_aTSS79,1,100659,100659,"",misc_feature,""
VCSEN_aTSS2353,1,100754,100754,"",misc_feature,""
VC0105,1,100811,101854,hemB,CDS,""
VC0106,1,101958,102389,"",CDS,""
VCSEN_aTSS2355,1,102454,102454,"",misc_feature,""
VCSEN_ancRNA609,1,102454,102650,"",misc_RNA,""
VCSEN_ancRNA610,1,102454,102881,"",misc_RNA,""
VC0107,1,102908,103045,"",CDS,""
VCSEN_aTSS2357,1,102968,102968,"",misc_feature,""
VCSEN_aTSS2359,1,103071,103071,"",misc_feature,""
VC0108,1,103098,105902,polA,CDS,""
VCSEN_aTSS2361,1,106078,106078,"",misc_feature,""
VCSEN_ancRNA629,1,106078,107111,"",misc_RNA,""
VCSEN_ancRNA14,1,106150,106417,"",misc_RNA,""
VCSEN_aTSS81,1,106417,106417,"",misc_feature,""
VCSEN_aTSS2363,1,106481,106481,"",misc_feature,""
VCSEN_ancRNA15,1,106481,107111,"",misc_RNA,""
VC0111,1,106649,107311,"",CDS,""
VCSEN_aTSS2365,1,107111,107111,"",misc_feature,""
VCSEN_aTSS2367,1,107382,107382,"",misc_feature,""
VCSEN_aTSS83,1,107395,107395,"",misc_feature,""
VC0112,1,107463,108080,cc4,CDS,""
VC0113,1,108252,108920,"",CDS,""
VCSEN_aTSS2369,1,108263,108263,"",misc_feature,""
VC0114,1,108920,109468,"",CDS,""
VC0115,1,109475,109966,"",CDS,""
VCSEN_aTSS2371,1,109652,109652,"",misc_feature,""
VC0116,1,110105,111493,hemN,CDS,""
VC0117,1,111557,112753,hemY,CDS,""
VCSEN_aTSS2373,1,111570,111570,"",misc_feature,""
VCSEN_ancRNA16,1,111570,111921,"",misc_RNA,""
VC0118,1,112750,113949,hemX,CDS,""
VC0119,1,113933,114715,hemD,CDS,""
VCSEN_aTSS85,1,114390,114390,"",misc_feature,""
VC0120,1,114761,115696,hemC,CDS,""
VCSEN_aTSS87,1,115727,115727,"",misc_feature,""
VCSEN_aTSS89,1,115873,115873,"",misc_feature,""
VCSEN_aTSS2375,1,115905,115905,"",misc_feature,""
VCSEN_aTSS2377,1,115983,115983,"",misc_feature,""
VC0122,1,116053,118584,cyaA,CDS,""
VC0123,1,118690,119004,cyaY,CDS,""
VCSEN_aTSS91,1,119034,119034,"",misc_feature,""
VCSEN_aTSS2379,1,119053,119053,"",misc_feature,""
VC0124,1,119080,119196,"",CDS,""
VC0125,1,119229,120482,lysA,CDS,""
VC0126,1,120494,121324,dapF,CDS,""
VC0127,1,121338,122036,"",CDS,""
VC0128,1,122005,122940,xerC,CDS,""
VC0129,1,122943,123662,"",CDS,""
VCSEN_aTSS2381,1,123746,123746,"",misc_feature,""
VC0130,1,123772,126261,"",CDS,""
VC0131,1,126294,126890,"",CDS,""
VCSEN_aTSS2383,1,126500,126500,"",misc_feature,""
VCSEN_ancRNA17,1,126500,127523,"",misc_RNA,""
VC0132,1,126887,128431,"",CDS,""
VCSEN_aTSS93,1,128475,128475,"",misc_feature,""
VC0134,1,128715,129542,"",CDS,""
VCSEN_aTSS95,1,129587,129587,"",misc_feature,""
VC0135,1,129657,130673,pldB,CDS,""
VCSEN_aTSS2385,1,130603,130603,"",misc_feature,""
VCSEN_aTSS2387,1,130655,130655,"",misc_feature,""
VCSEN_aTSS97,1,130714,130714,"",misc_feature,""
VC0136,1,130748,131365,rhtB,CDS,""
VCSEN_aTSS2389,1,131224,131224,"",misc_feature,""
VC0137,1,131385,132611,cdgJ,CDS,""
VCSEN_ancRNA18,1,132680,132740,"",misc_RNA,""
VCSEN_aTSS99,1,132740,132740,"",misc_feature,""
VC0139,1,132791,133261,dps,CDS,""
VCSEN_aTSS101,1,133299,133299,"",misc_feature,""
VCSEN_aTSS103,1,133303,133303,"",misc_feature,""
VCSEN_aTSS2391,1,133406,133406,"",misc_feature,""
VCSEN_ancRNA19,1,133406,133546,"",misc_RNA,""
VC0140,1,133431,133760,"",CDS,""
VCSEN_aTSS2393,1,133732,133732,"",misc_feature,""
VCSEN_aTSS105,1,133782,133782,"",misc_feature,""
VCSEN_aTSS2395,1,133942,133942,"",misc_feature,""
VC0142,1,133965,134333,"",CDS,""
VCSEN_ancRNA20,1,134348,134508,"",misc_RNA,""
VCSEN_aTSS107,1,134508,134508,"",misc_feature,""
VCSEN_ancRNA21,1,134528,135095,"",misc_RNA,""
VCSEN_aTSS2397,1,134787,134787,"",misc_feature,""
VC0143,1,134836,135093,"",CDS,""
VCSEN_aTSS109,1,135095,135095,"",misc_feature,""
VCSEN_aTSS2399,1,135194,135194,"",misc_feature,""
VC0144,1,135210,135839,"",CDS,""
VC0145,1,135888,136154,"",CDS,""
VC0146,1,136151,136750,rsmD,CDS,""
VCSEN_aTSS111,1,136376,136376,"",misc_feature,""
VCSEN_aTSS2401,1,136457,136457,"",misc_feature,""
VCSEN_aTSS2403,1,136788,136788,"",misc_feature,""
VCSEN_aTSS113,1,136833,136833,"",misc_feature,""
VCSEN_aTSS2405,1,136912,136912,"",misc_feature,""
VC0147,1,136954,138129,ftsY,CDS,""
VC0148,1,138178,138852,ftsE,CDS,""
VC0149,1,138842,139834,ftsX,CDS,""
VCSEN_aTSS2407,1,139855,139855,"",misc_feature,""
VCSEN_aTSS2409,1,139921,139921,"",misc_feature,""
VCSEN_aTSS2411,1,139962,139962,"",misc_feature,""
VC0150,1,140004,140864,rpoH,CDS,""
VC0151,1,141066,142466,sthA,CDS,""
VCSEN_aTSS115,1,142501,142501,"",misc_feature,""
VCSEN_aTSS117,1,142725,142725,"",misc_feature,""
VCSEN_aTSS2413,1,142742,142742,"",misc_feature,""
VC0152,1,142783,143415,fabR,CDS,""
VC0153,1,143473,143826,"",CDS,""
VC0154,1,143863,144972,trmA,CDS,""
VCSEN_aTSS2415,1,145136,145136,"",misc_feature,""
VC0156,1,145370,147205,btuB,CDS,""
VC0157,1,147278,148885,proA,CDS,""
VCSEN_aTSS2417,1,149251,149251,"",misc_feature,""
VC0158,1,149278,150075,murI,CDS,""
VC0159,1,150041,150499,"",CDS,""
VCSEN_aTSS119,1,150564,150564,"",misc_feature,""
VCSEN_aTSS121,1,150575,150575,"",misc_feature,""
VCSEN_ancRNA22,1,150577,150813,"",misc_RNA,""
VCSEN_aTSS2419,1,150734,150734,"",misc_feature,""
VCSEN_aTSS123,1,150813,150813,"",misc_feature,""
VCSEN_aTSS2421,1,150838,150838,"",misc_feature,""
VC0160,1,150905,151024,"",CDS,""
VCr004,1,151059,152593,16Sb,rRNA,""
VCt004,1,152663,152738,tRNA-Glu-1,tRNA,""
VCr005,1,153026,155912,23Sb,rRNA,""
VCr006,1,156041,156158,5Sb,rRNA,""
VCt005,1,156206,156296,tRNA-Ser-1,tRNA,""
VC0161,1,156407,157303,ilvY,CDS,""
VCSEN_aTSS125,1,157336,157336,"",misc_feature,""
VCSEN_aTSS2423,1,157389,157389,"",misc_feature,""
VC0162,1,157441,158925,ilvC,CDS,""
VC0163,1,159052,159303,"",CDS,""
VCSEN_aTSS127,1,159323,159323,"",misc_feature,""
VC0164,1,159419,162529,vexB,CDS,""
VC0165,1,162541,163647,vexA,CDS,""
VC0166,1,163666,164247,vexR,CDS,""
VCSEN_aTSS129,1,164271,164271,"",misc_feature,""
VCSEN_aTSS2425,1,164383,164383,"",misc_feature,""
VC0167,1,164408,166423,rep,CDS,""
VC0168,1,166490,166897,cycB,CDS,""
VCSEN_aTSS131,1,166997,166997,"",misc_feature,""
VCSEN_aTSS133,1,167072,167072,"",misc_feature,""
VCt006,1,167187,167263,tRNA-Arg-1,tRNA,""
VCt007,1,167299,167374,tRNA-His-1,tRNA,""
VCt008,1,167436,167512,tRNA-Pro-1,tRNA,""
VCt009,1,167583,167658,tRNA-His-2,tRNA,""
VCt010,1,167720,167796,tRNA-Pro-2,tRNA,""
VCSEN_ancRNA23,1,167803,168013,"",misc_RNA,""
VCSEN_aTSS2427,1,168013,168013,"",misc_feature,""
VCSEN_aTSS135,1,168013,168013,"",misc_feature,""
VCSEN_aTSS2429,1,168409,168409,"",misc_feature,""
VC0170,1,168532,170247,gsiA,CDS,""
VC0171,1,170339,171895,"",CDS,""
VCSEN_aTSS2431,1,171943,171943,"",misc_feature,""
VC0172,1,172050,173027,"",CDS,""
VC0173,1,173030,173968,"",CDS,""
VCSEN_aTSS2433,1,174055,174055,"",misc_feature,""
VC0174,1,174143,175090,"",CDS,""
VC0175,1,175343,176941,"",CDS,""
VCSEN_aTSS2435,1,176054,176054,"",misc_feature,""
VCSEN_ancRNA24,1,176054,176268,"",misc_RNA,""
VCSEN_aTSS137,1,177267,177267,"",misc_feature,""
VC0176,1,177450,177758,ecoO109IREP,CDS,""
VCSEN_aTSS139,1,177796,177796,"",misc_feature,""
VCSEN_aTSS2437,1,177832,177832,"",misc_feature,""
VC0177,1,177861,178424,vspR,CDS,""
VCSEN_ancRNA25,1,178477,178774,"",misc_RNA,""
VCSEN_aTSS2439,1,178631,178631,"",misc_feature,""
VCSEN_aTSS141,1,178774,178774,"",misc_feature,""
VIBCH10163,1,178841,179089,"",CDS,""
VCSEN_ancRNA26,1,178985,179053,"",misc_RNA,""
VCSEN_aTSS143,1,179053,179053,"",misc_feature,""
VCSEN_aTSS2441,1,179165,179165,"",misc_feature,""
VC0178,1,179338,180405,"",CDS,""
VCSEN_aTSS2443,1,179928,179928,"",misc_feature,""
VCSEN_aTSS2445,1,180406,180406,"",misc_feature,""
VC0179,1,180425,181729,dncV,CDS,""
VCSEN_aTSS2447,1,181149,181149,"",misc_feature,""
VCSEN_aTSS2449,1,181633,181633,"",misc_feature,""
VCSEN_ancRNA27,1,181674,182139,"",misc_RNA,""
VC0180,1,181732,183486,"",CDS,""
VCSEN_aTSS145,1,182139,182139,"",misc_feature,""
VCSEN_aTSS2451,1,183214,183214,"",misc_feature,""
VC0181,1,183476,183946,"",CDS,""
VC0182,1,183957,184388,"",CDS,""
VC0183,1,184360,186471,"",CDS,""
VCSEN_aTSS147,1,184655,184655,"",misc_feature,""
VCSEN_aTSS2453,1,185430,185430,"",misc_feature,""
VCSEN_ancRNA637,1,185430,185497,"",misc_RNA,""
VC0184,1,186481,188169,"",CDS,""
VCSEN_aTSS2455,1,186561,186561,"",misc_feature,""
VCSEN_ancRNA28,1,186561,187006,"",misc_RNA,""
VCSEN_aTSS2457,1,186932,186932,"",misc_feature,""
VCSEN_ancRNA631,1,186932,187006,"",misc_RNA,""
VC0185,1,188166,189368,"",CDS,""
VC0186,1,189457,190809,gor,CDS,""
VCSEN_aTSS149,1,190860,190860,"",misc_feature,""
VC0187,1,190915,191754,"",CDS,""
VCSEN_aTSS151,1,191833,191833,"",misc_feature,""
VCSEN_aTSS2459,1,191983,191983,"",misc_feature,""
VC0188,1,192034,194076,prlC,CDS,""
VCSEN_aTSS2461,1,194185,194185,"",misc_feature,""
VC0190,1,194214,196385,uvrD,CDS,""
VCSEN_ancRNA615,1,196516,196931,"",misc_RNA,""
VCSEN_aTSS153,1,196931,196931,"",misc_feature,""
VC0191,1,197130,197798,"",CDS,""
VCSEN_aTSS2463,1,197205,197205,"",misc_feature,""
VCSEN_ancRNA29,1,197205,197512,"",misc_RNA,""
VCSEN_aTSS155,1,197816,197816,"",misc_feature,""
VC0192,1,197873,198685,"",CDS,""
VCSEN_aTSS2465,1,198357,198357,"",misc_feature,""
VCSEN_ancRNA30,1,198357,198603,"",misc_RNA,""
VCSEN_aTSS157,1,198700,198700,"",misc_feature,""
VC0194,1,198833,200587,ggt,CDS,""
VCSEN_aTSS159,1,200614,200614,"",misc_feature,""
VC0195,1,200761,201669,rarD,CDS,""
VCSEN_aTSS161,1,201709,201709,"",misc_feature,""
VCSEN_aTSS2467,1,201788,201788,"",misc_feature,""
VC0196,1,201830,203665,recQ,CDS,""
VC0197,1,203658,203957,"",CDS,""
VCSEN_aTSS2469,1,204035,204035,"",misc_feature,""
VC0198,1,204113,204490,"",CDS,""
VC0199,1,204526,206361,vcaM,CDS,""
VCSEN_aTSS2471,1,205000,205000,"",misc_feature,""
VCSEN_ancRNA31,1,205000,205941,"",misc_RNA,""
VCSEN_aTSS163,1,206413,206413,"",misc_feature,""
VCSEN_aTSS2473,1,206451,206451,"",misc_feature,""
VC0200,1,206490,208589,fhuA,CDS,""
VC0201,1,208720,209505,fhuC,CDS,""
VC0202,1,209496,210455,fhuD,CDS,""
VC0203,1,210452,212413,fhuB,CDS,""
VC0204,1,212440,213288,"",CDS,""
VC0205,1,213331,213522,"",CDS,""
VCSEN_aTSS2475,1,213494,213494,"",misc_feature,""
VC0206,1,213519,214421,murQ1,CDS,""
VC0207,1,214449,215897,murP,CDS,""
VC0208,1,216004,216492,"",CDS,""
VC0209,1,216558,217424,"",CDS,""
VCSEN_aTSS165,1,217457,217457,"",misc_feature,""
VCSEN_aTSS2477,1,217549,217549,"",misc_feature,""
VC0210,1,217588,218304,rph,CDS,""
VCSEN_aTSS2479,1,218609,218609,"",misc_feature,""
VC0211,1,218670,219311,pyrE,CDS,""
VC0212,1,219397,220374,lpxN,CDS,""
VC0213,1,220385,221341,htrB,CDS,""
VCSEN_aTSS167,1,220463,220463,"",misc_feature,""
VC0214,1,221338,221928,slmA,CDS,""
VCSEN_aTSS169,1,222008,222008,"",misc_feature,""
VC0215,1,222087,223286,coaBC,CDS,""
VCSEN_aTSS171,1,223309,223309,"",misc_feature,""
VCSEN_aTSS173,1,223399,223399,"",misc_feature,""
VCSEN_aTSS2481,1,223439,223439,"",misc_feature,""
VC0216,1,223454,225148,mlp2,CDS,""
VC0217,1,225260,225934,"",CDS,""
VCSEN_aTSS2483,1,226000,226000,"",misc_feature,""
VCSEN_aTSS2485,1,226107,226107,"",misc_feature,""
VC0218,1,226229,226465,rpmB,CDS,""
VCSEN_aTSS2487,1,226400,226400,"",misc_feature,""
VC0219,1,226479,226646,rpmG,CDS,""
VCSEN_aTSS2489,1,226849,226849,"",misc_feature,""
VC0220,1,226867,227355,"",CDS,""
VC0221,1,227365,228174,mutM,CDS,""
VCSEN_aTSS2491,1,228203,228203,"",misc_feature,""
VC0222,1,228271,228765,coaD,CDS,""
VCSEN_aTSS175,1,228792,228792,"",misc_feature,""
VCSEN_aTSS2493,1,228849,228849,"",misc_feature,""
VC0223,1,228876,229913,waaQ,CDS,""
VC0224,1,229975,230754,kdtX,CDS,""
VC0225,1,230797,231870,waaC,CDS,""
VCSEN_aTSS177,1,231900,231900,"",misc_feature,""
VCSEN_aTSS2495,1,231943,231943,"",misc_feature,""
VC0227,1,231998,232705,wavC,CDS,kdkA
VCSEN_aTSS2497,1,232583,232583,"",misc_feature,""
VC0228,1,232709,233668,wavD,CDS,""
VC0229,1,233672,234601,wavE,CDS,""
VC0230,1,234598,235341,wavF,CDS,""
VCSEN_aTSS179,1,234616,234616,"",misc_feature,""
VC0231,1,235338,236921,wavG,CDS,""
VC0232,1,236912,237292,wavH,CDS,""
VC0233,1,237289,238566,waaA,CDS,""
VC0234,1,238569,239357,wavI,CDS,""
VCSEN_aTSS2499,1,238722,238722,"",misc_feature,""
VCSEN_ancRNA32,1,238722,239305,"",misc_RNA,""
VC0235,1,239354,240403,wavJ,CDS,""
VC0236,1,240400,241437,waaF,CDS,rfaF
VCSEN_aTSS2501,1,240573,240573,"",misc_feature,""
VCSEN_ancRNA33,1,240573,241122,"",misc_RNA,""
VC0237,1,241437,242636,waaL,CDS,""
VCSEN_aTSS2503,1,241831,241831,"",misc_feature,""
VCSEN_ancRNA34,1,241831,242479,"",misc_RNA,""
VC0238,1,242638,243204,wavK,CDS,""
VC0239,1,243212,244984,wavL,CDS,""
VC0240,1,245143,246087,gmhD,CDS,hldD
VCSEN_aTSS181,1,246114,246114,"",misc_feature,""
VCSEN_ancRNA35,1,246189,246267,"",misc_RNA,""
VCSEN_aTSS2505,1,246215,246215,"",misc_feature,""
VCSEN_aTSS183,1,246267,246267,"",misc_feature,""
VCSEN_aTSS2507,1,246365,246365,"",misc_feature,""
VC0241,1,246529,247926,rfbA,CDS,""
VC0242,1,247929,249320,rfbB,CDS,manB
VCSEN_ancRNA36,1,248898,249007,"",misc_RNA,""
VCSEN_aTSS185,1,249007,249007,"",misc_feature,""
VCSEN_aTSS2509,1,249156,249156,"",misc_feature,""
VC0243,1,249323,250444,rfbD,CDS,""
VC0244,1,250455,251558,rfbE,CDS,wbhD
VC0245,1,251555,252946,rfbG,CDS,""
VC0246,1,252918,253712,rfbH,CDS,""
VC0247,1,253651,254466,rfbI,CDS,""
VCSEN_ancRNA37,1,254082,254280,"",misc_RNA,""
VCSEN_aTSS187,1,254280,254280,"",misc_feature,""
VCSEN_aTSS2511,1,254489,254489,"",misc_feature,""
VC0248,1,254514,254747,"",CDS,""
VC0249,1,254753,256168,rfbL,CDS,""
VCSEN_ancRNA38,1,256089,256844,"",misc_RNA,""
VCSEN_aTSS2513,1,256112,256112,"",misc_feature,""
VC0250,1,256177,257301,"",CDS,""
VCSEN_aTSS189,1,256844,256844,"",misc_feature,""
VCSEN_aTSS2515,1,257233,257233,"",misc_feature,""
VC0251,1,257292,259769,"",CDS,""
